text, sentiment
"Perutku sering terasa panas dan nyeri, asam lambung.",asam lambung.
Makanan pedas selalu membuat perutku tidak nyaman,asam lambung.
Terlalu banyak makan malam membuat perutku terasa begah,asam lambung.
Minum kopi saat perut kosong selalu mengakibatkan sensasi terbakar,asam lambung.
Suka ngemil sebelum tidur membuat perutku terasa tidak enak,asam lambung.
Sering terlambat makan selalu membuat perutku keroncongan,asam lambung.
Makan makanan berlemak tinggi selalu menyulitkan pencernaan,asam lambung.
Kurang minum air membuat perutku terasa penuh dan tidak nyaman,asam lambung.
"Makanan pedas dan berlemak selalu menyebabkan rasa terbakar di dada,",asam lambung.
Tidak memperhatikan porsi makan selalu mengakibatkan perutku kembung,asam lambung.
Suka makan terlalu cepat membuat perutku terasa penuh dengan cepat,asam lambung.
Minum minuman bersoda selalu menyebabkan perutku kembung,asam lambung.
Sering mengonsumsi makanan tinggi asam selalu memicu sensasi terbakar,asam lambung.
"Malas sarapan selalu membuat perutku tidak stabil,",asam lambung.
Makan makanan berat di malam hari selalu mengakibatkan perutku tidak nyaman,asam lambung.
Mengonsumsi cokelat selalu memicu gejala asam lambung,asam lambung.
Suka makan makanan pedas membuat perutku terasa teriritasi,asam lambung.
Terlalu banyak makan makanan asam selalu meningkatkan produksi asam lambung,asam lambung.
Kurang tidur selalu membuat perutku terasa tidak nyaman,asam lambung.
Minum alkohol selalu menyebabkan perutku terasa panas dan penuh,asam lambung.
Makan makanan instan selalu mengakibatkan perutku terasa kembung,asam lambung.
Kurang olahraga selalu membuat pencernaan menjadi lambat,asam lambung.
Suka merokok selalu memperburuk gejala asam lambung,asam lambung.
Terlalu banyak mengonsumsi kafein selalu membuat perutku terasa gelisah,asam lambung.
Makan terlalu banyak gula selalu menyebabkan perutku tidak nyaman,asam lambung.
Kurang minum air putih selalu membuat perutku terasa kering,asam lambung.
Suka makan makanan cepat saji selalu mengakibatkan sensasi terbakar,asam lambung.
Minum air dingin saat perut kosong selalu menyebabkan perutku terasa perih,asam lambung.
Sering begadang selalu membuat perutku terasa tidak nyaman,asam lambung.
Makan makanan yang terlalu panas selalu membuat perutku terasa terbakar,asam lambung.
"Sering stres selalu memicu gejala asam lambung, asam lambung.",asam lambung.
Mengonsumsi makanan tinggi garam selalu meningkatkan tekanan pada perut,asam lambung.
Tidak mencukupi waktu istirahat selalu membuat perutku tidak stabil,asam lambung.
"Makan makanan yang terlalu pedas selalu menyebabkan rasa terbakar di dada, asam lambung.",asam lambung.
"Suka makan makanan yang digoreng selalu mengakibatkan perutku tidak enak, asam lambung.",asam lambung.
"Terlalu sering mengonsumsi makanan tinggi lemak selalu membuat perutku terasa penuh, asam lambung.",asam lambung.
"Suka makan makanan kaleng selalu menyebabkan perutku terasa kembung, asam lambung.",asam lambung.
"Minum minuman berkafein selalu membuat perutku terasa gelisah, asam lambung.",asam lambung.
"Terlalu banyak makan permen selalu meningkatkan produksi asam lambung, asam lambung.",asam lambung.
"Mengonsumsi makanan berbumbu selalu menyebabkan sensasi terbakar, asam lambung.",asam lambung.
"Kurang mengonsumsi sayuran selalu membuat pencernaan menjadi lambat, asam lambung.",asam lambung.
"Suka makan makanan cepat saji selalu membuat perutku terasa kembung, asam lambung.",asam lambung.
"Minum minuman bersoda selalu meningkatkan produksi gas di perut, asam lambung.",asam lambung.
"Tidak mengonsumsi makanan tinggi serat selalu mengakibatkan sembelit, asam lambung.",asam lambung.
"Suka makan makanan yang sangat pedas selalu menyebabkan perutku terasa tidak nyaman, asam lambung.",asam lambung.
"Terlalu sering makan camilan tidak sehat selalu mengakibatkan perutku terasa tidak enak, asam lambung.",asam lambung.
"Mengonsumsi makanan yang terlalu asam selalu menyebabkan sensasi terbakar di dada, asam lambung.",asam lambung.
"Kurang minum air saat makan selalu membuat perutku terasa penuh dan kembung, asam lambung.",asam lambung.
"Suka makan makanan yang digoreng dalam minyak banyak selalu memicu gejala, asam lambung.",asam lambung.
"Terlalu banyak mengonsumsi makanan tinggi gula selalu mengakibatkan perutku terasa tidak nyaman, asam lambung",asam lambung.
"Aku merasa lemas dan pegal-pegal di seluruh tubuh, demam.",
"Barusan keluar dari ruangan ber-AC, tubuhku terasa menggigil, demam.",
"Aku merasa panas dan kedinginan secara bersamaan, demam.",
"Tubuhku terasa lelah dan tidak bertenaga, demam.",
"Aku merasa kelelahan setelah beraktivitas, suhu tubuhku meningkat, demam.",
"Baru saja berinteraksi dengan seseorang yang sakit, demam.",
"Aku menggigil meskipun ruangan sudah cukup hangat, demam.",
"Suhu tubuhku meningkat setelah berada di bawah hujan, demam.",
"Aku merasa tak nyaman dengan keringat dingin di seluruh tubuh, demam.",
"Aku merasa sangat lelah dan pusing, demam.",
"Baru saja melakukan perjalanan, sekarang aku merasa demam.",
"Aku merasa tubuhku berat dan lesu, suhu tubuh tinggi, demam.",
"Setelah berada di kerumunan orang, sekarang aku merasa demam.",
"Aku merasa tidak enak badan setelah tidur dengan kipas angin menyala, demam.",
"Tubuhku terasa panas meskipun cuaca tidak terlalu panas, demam.",
"Aku merasa kelelahan dan suhu tubuhku meningkat, demam.",
"Setelah berolahraga, tubuhku terasa lemas dan demam.",
"Baru saja menyelesaikan pekerjaan rumah tangga, sekarang, demam.",
"Aku merasa kedinginan dan tubuhku menggigil setelah berada di tempat yang ber-AC, demam.",
"Aku baru saja menyelesaikan shift malam, demam.",
"Setelah melakukan pekerjaan fisik berat, demam.",
"Aku merasa tidak enak badan setelah terlalu lama di bawah terik matahari, demam.",
"Baru saja berinteraksi dengan seseorang yang sedang sakit flu, demam.",
"Aku merasa pegal di seluruh tubuh setelah berolahraga, demam.",
"Aku baru saja keluar dari ruangan yang terlalu dingin, demam.",
"Aku merasa lelah dan lesu setelah begadang semalam, demam.",
"Setelah berkumpul dengan banyak orang, demam.",
"Aku merasa pusing dan tubuhku terasa panas, demam.",
"Aku baru saja pulang dari perjalanan panjang, demam.",
"Aku merasa kurang fit setelah berada di kerumunan orang, demam.",
"Aku merasa pegal di seluruh tubuh setelah beraktivitas, demam.",
"Aku baru saja menghabiskan waktu di ruangan ber-AC,  demam.",
"Aku merasa lesu dan suhu tubuhku meningkat setelah berada di luar rumah, demam.",
"Aku merasa tubuhku bergetar dan tidak nyaman, demam.",
"Aku baru saja menyelesaikan pekerjaan kantor, demam.",
"Setelah berada di bawah hujan tanpa payung, demam.",
"Aku merasa pusing dan tubuhku terasa panas setelah berada di tempat yang ramai, demam.",
"Aku baru saja menyelesaikan latihan fisik, demam.",
"Aku merasa lemas dan suhu tubuhku meningkat setelah makan makanan yang tidak segar, demam.",
"Aku baru saja berada di ruangan yang tidak terlalu bersih,  demam.",
"Aku merasa kelelahan setelah bermain di luar rumah, demam.",
"Aku baru saja menyelesaikan pekerjaan rumah tangga yang melelahkan, demam.",
"Aku merasa tidak enak badan setelah berada di udara yang kotor, demam.",
"Setelah berada di ruangan tertutup tanpa ventilasi yang baik, demam.",
"Aku baru saja keluar dari ruangan ber-AC yang terlalu dingin,  demam.",
"Aku merasa pusing dan tidak nyaman setelah berada di keramaian, demam.",
"Aku baru saja mengonsumsi makanan yang kurang higienis, demam.",
"Setelah berada di ruang tersendiri, demam.",
"Aku merasa kelelahan dan lesu setelah beraktivitas di luar rumah, demam.",
"Aku baru saja berada di tempat yang terlalu berisik, demam.",
"Aku merasa kelelahan dan badanku terasa lemas, flu.",
"Baru saja bersin-bersin berulang kali, flu.",
"Aku merasa tenggorokanku sakit dan badanku terasa tidak nyaman, flu.",
"Hidungku meler dan aku merasa tidak enak badan, flu.",
"Aku merasa pusing dan bersin terus-menerus, flu.",
"Baru saja mengalami demam dan menggigil, flu.",
"Aku merasa tubuhku terasa panas dan hidungku tersumbat, flu.",
"Aku sering merasa tidak enak badan dan bersin-bersin, flu.",
"Setelah bersin aku merasa kelelahan dan tenggorokanku terasa tidak nyaman, flu.",
"Aku merasa demam dan hidungku meler, flu.",
"Hidungku tersumbat dan aku merasa tidak enak badan, flu.",
"Aku sering bersin-bersin dan hidungku meler, flu.",
"Aku merasa pusing dan menggigil, flu.",
"Baru saja bersin-bersin sekarang aku merasa badanku tidak fit, flu.",
"Aku merasa kelelahan dan tenggorokanku terasa perih, flu.",
"Hidungku tersumbat dan badanku terasa lemas, flu.",
"Aku sering merasa tidak enak badan dan bersin-bersin, flu.",
"Aku merasa demam dan hidungku meler, flu.",
"Setelah bersin aku merasa tubuhku panas dan pusing, flu.",
"Aku merasa tenggorokanku sakit dan badanku terasa tidak fit, flu.",
"Hidungku meler terus-menerus dan badanku terasa lemas, flu.",
"Aku sering bersin dan merasa tidak enak badan, flu.",
"Aku merasa pusing dan hidungku tersumbat, flu.",
"Baru saja bersin-bersin sekarang tubuhku terasa lelah, flu.",
"Aku merasa demam dan hidungku meler, flu.",
"Aku sering bersin-bersin dan badanku terasa berat, flu.",
"Hidungku tersumbat dan aku merasa tidak enak badan, flu.",
"Aku merasa pusing dan sering menggigil, flu.",
"Baru saja bersin-bersin sekarang tenggorokanku terasa perih, flu.",
"Aku sering merasa kelelahan dan hidungku meler, flu.",
"Aku merasa demam dan sering bersin, flu.",
"Hidungku meler terus-menerus dan badanku terasa lemas, flu.",
"Aku sering bersin-bersin dan merasa pusing, flu.",
"Aku merasa tenggorokanku sakit dan hidungku tersumbat, flu.",
"Aku sering bersin dan badanku terasa berat, flu.",
"Hidungku meler dan aku merasa demam, flu.",
"Aku merasa pusing dan kelelahan, flu.",
"Aku sering bersin-bersin dan tenggorokanku terasa tidak nyaman, flu.",
"Hidungku meler terus-menerus dan badanku terasa lemas, flu.",
"Aku merasa demam dan sering menggigil, flu.",
"Aku sering bersin dan hidungku tersumbat, flu.",
"Aku merasa tenggorokanku sakit dan badanku terasa tidak enak, flu.",
"Baru saja bersin-bersin sekarang aku merasa kelelahan, flu.",
"Hidungku meler dan sering bersin, flu.",
"Aku merasa demam dan pusing, flu.",
"Aku sering bersin-bersin dan badanku terasa lemas, flu.",
"Hidungku tersumbat dan aku merasa tidak enak badan, flu.",
"Aku merasa pusing dan sering menggigil, flu.",
"Baru saja bersin-bersin sekarang tenggorokanku terasa perih, flu.",
"Aku sering merasa kelelahan dan hidungku meler, flu.",
"Aku habis makan pedas, sakit perut.",
"Perutku mules dan terasa tidak nyaman, sakit perut.",
"Baru saja menyantap makanan berbumbu pedas, sakit perut",
"Aku merasa perutku terasa pedas dan mules setelah makan,  sakit perut.",
"Setelah mengonsumsi hidangan yang sangat pedas sekarang perutku sakit, sakit perut.",
"Perutku terasa panas dan mules setelah makan makanan pedas, sakit perut.",
"Aku habis mencoba makanan yang pedas sekarang perutku terasa tidak enak, sakit perut.",
"Perutku terasa mules dan perih setelah menyantap makanan yang sangat pedas, sakit perut.",
"Aku merasa sakit perut setelah menyantap hidangan pedas perutku terasa tak nyaman, sakit perut",
"Setelah makan makanan pedas sekarang perutku mules dan terasa sakit, sakit perut.",
"Aku habis makan makanan berbumbu pedas perutku langsung terasa sakit, sakit perut.",
"Perutku terasa tidak nyaman dan mules setelah mencoba makanan yang pedas, sakit perut.",
"Aku merasa sakit perut setelah mengonsumsi hidangan yang pedas, sakit perut",
"Setelah makan makanan berbumbu pedas sekarang aku merasakan sakit perut, sakit perut",
"Perutku terasa perih dan mules setelah mencoba makanan yang sangat pedas, sakit perut.",
"Aku habis menyantap hidangan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku mules dan terasa tidak nyaman setelah makan makanan pedas, sakit perut.",
"Aku merasa sakit perut setelah mengonsumsi hidangan yang pedas, sakit perut.",
"Setelah mencoba makanan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku terasa perih dan mules setelah menyantap hidangan berbumbu pedas, sakit perut.",
"Aku habis makan makanan berbumbu pedas perutku langsung terasa sakit, sakit perut.",
"Perutku mules dan terasa tidak nyaman setelah mencoba makanan yang sangat pedas, sakit perut.",
"Aku merasa sakit perut setelah mengonsumsi hidangan yang pedas, sakit perut",
"Setelah makan makanan berbumbu pedas sekarang aku merasakan sakit perut, perutku mules.",
"Perutku terasa perih dan mules setelah mencoba makanan yang sangat pedas, sakit perut.",
"Aku habis menyantap hidangan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku mules dan terasa tidak nyaman setelah makan makanan pedas, sakit perut.",
"Aku merasa sakit perut setelah mengonsumsi hidangan yang pedas, perutku terasa panas.",
"Setelah mencoba makanan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku terasa perih dan mules setelah menyantap hidangan berbumbu pedas, sakit perut.",
"Aku habis makan makanan berbumbu pedas perutku langsung terasa sakit, sakit perut.",
"Perutku mules dan terasa tidak nyaman setelah mencoba makanan yang sangat pedas, sakit perut.",
"Aku merasa sakit perut setelah mengonsumsi hidangan yang pedas, sakit perut",
"Setelah makan makanan berbumbu pedas sekarang aku merasakan sakit perut, sakit perut",
"Perutku terasa perih dan mules setelah mencoba makanan yang sangat pedas, sakit perut.",
"Aku habis menyantap hidangan pedas, sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku mules dan terasa tidak nyaman setelah makan makanan pedas, sakit perut.",
"Aku merasa sakit perut setelah mengonsumsi hidangan yang pedas, sakit perut",
"Setelah mencoba makanan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku terasa perih dan mules setelah menyantap hidangan berbumbu pedas, sakit perut.",
"Aku habis makan makanan berbumbu pedas perutku langsung terasa sakit, sakit perut.",
"Perutku mules dan terasa tidak nyaman setelah mencoba makanan yang sangat pedas, sakit perut.",
"Aku merasa sakit perut setelah mengonsumsi hidangan yang pedas, sakit perut",
"Setelah makan makanan berbumbu pedas sekarang aku merasakan sakit perut, sakit perut",
"Perutku terasa perih dan mules setelah mencoba makanan yang sangat pedas, sakit perut.",
"Aku habis menyantap hidangan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku mules dan terasa tidak nyaman setelah makan makanan pedas, sakit perut.",
"Baru saja habis makan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Setelah mencoba makanan pedas sekarang perutku terasa mules dan sakit, sakit perut.",
"Perutku terasa perih dan mules setelah menyantap hidangan berbumbu pedas, sakit perut.",
"Kepalaku sakit dan aku merasa tidak enak badan, pusing.",
"Baru saja menyelesaikan pekerjaan rumah tangga yang melelahkan sekarang kepalaku berdenyut, pusing.",
"Kepalaku terasa penat karena kurang tidur, pusing.",
"Aku merasa stres dengan pekerjaan sekarang kepalaku berdenyut, pusing.",
"Setelah berada di bawah sinar matahari terik sekarang kepalaku sakit dan aku merasa tidak enak badan, pusing.",
"Kepalaku terasa pusing dan aku merasa tegang karena deadline yang mendekat, pusing",
"Aku merasa lelah setelah beraktivitas seharian sekarang kepalaku berdenyut, pusing.",
"Kepalaku sakit dan aku merasa tidak nyaman dengan cuaca yang panas, pusing.",
"Baru saja mengalami situasi stres di kantor sekarang kepalaku terasa pusing, pusing",
"Kepalaku berdenyut karena habis berpikir keras menyelesaikan tugas, pusing.",
"Aku merasa tidak fit setelah olahraga intensif sekarang kepalaku sakit dan berdenyut, pusing.",
"Kepalaku terasa penat karena kurang istirahat, pusing.",
"Setelah menghadapi masalah yang kompleks sekarang kepalaku berdenyut, pusing.",
"Kepalaku sakit dan aku merasa tegang setelah berada di dalam keramaian, pusing.",
"Aku merasa tidak enak badan dan kepalaku berdenyut karena kurang tidur, pusing.",
"Kepalaku sakit dan aku merasa stres dengan tumpukan pekerjaan, pusing.",
