text, sentiment
"Baru saja mengalami kelelahan fisik sekarang kepalaku terasa pusing, pusing",
"Kepalaku berdenyut karena kurang minum air, pusing.",
"Aku merasa tidak nyaman dengan kebisingan di sekitar sekarang kepalaku sakit dan berdenyut, pusing.",
"Kepalaku terasa penat dan aku merasa tidak enak badan, pusing.",
"Setelah beraktivitas di luar rumah di cuaca yang panas sekarang kepalaku berdenyut, pusing.",
"Kepalaku sakit dan aku merasa tidak fit setelah melakukan perjalanan jauh, pusing.",
"Aku merasa stres dengan tugas yang menumpuk, pusing.",
"Kepalaku berdenyut karena kurang tidur, pusing.",
"Baru saja mengalami situasi konflik, sekarang kepalaku sakit dan aku merasa tidak enak badan, pusing.",
"Kepalaku terasa pusing dan aku merasa tegang karena kondisi kerja yang intensif, pusing",
"Aku merasa lelah setelah mengikuti acara yang berlangsung lama sekarang kepalaku berdenyut, pusing.",
"Kepalaku sakit dan aku merasa tidak nyaman dengan cuaca yang dingin, pusing.",
"Setelah berada di ruangan yang ber-AC terlalu, pusing.",
"Kepalaku berdenyut karena habis berpikir keras menyelesaikan proyek, pusing.",
"Aku merasa tidak enak badan dan kepalaku sakit karena kurang tidur, pusing.",
"Kepalaku terasa penat setelah beraktivitas di luar rumah, pusing.",
"Setelah mengalami situasi stres, sekarang kepalaku berdenyut, pusing.",
"Kepalaku sakit dan aku merasa tegang setelah menghadapi masalah keluarga, pusing.",
"Aku merasa lelah dan kepalaku berdenyut karena kurang tidur, pusing.",
"Kepalaku terasa pusing dan aku merasa tidak enak badan setelah berada di tempat yang ramai, pusing",
"Baru saja mengalami kelelahan mental sekarang kepalaku sakit dan berdenyut, pusing.",
"Kepalaku sakit dan aku merasa stres setelah berhadapan dengan situasi sulit, pusing.",
"Aku merasa tidak nyaman dengan kebisingan di sekitar sekarang kepalaku terasa, pusing.",
"Kepalaku berdenyut karena habis berpikir keras, pusing.",
"Aku merasa tidak fit setelah olahraga intensif sekarang kepalaku sakit dan berdenyut, pusing.",
"Kepalaku terasa penat karena kurang istirahat, pusing.",
"Setelah menghadapi situasi stres di kantor sekarang kepalaku terasa, pusing.",
"Kepalaku sakit dan aku merasa tegang karena deadline yang mendekat, pusing.",
"Aku merasa lelah setelah beraktivitas seharian, sekarang kepalaku berdenyut, pusing.",
"Kepalaku terasa pusing dan aku merasa tidak enak badan karena kurang tidur, pusing.",
"Baru saja menyelesaikan pekerjaan rumah tangga yang melelahkan sekarang kepalaku sakit dan berdenyut, pusing.",
"Kepalaku sakit dan aku merasa tidak nyaman dengan cuaca yang panas, pusing.",
"Aku merasa stres dengan tumpukan pekerjaan, pusing.",
"Kepalaku berdenyut karena kurang minum air, pusing.",
"Mataku lelah, sakit mata.",
"Aku tidak dapat melihat dengan jelas, sakit mata.",
"Setelah bekerja di depan layar komputer seharian sekarang mataku lelah, sakit mata.",
"Aku merasa tidak nyaman dengan sinar matahari yang terlalu terik, sakit mata.",
"Mataku terasa perih setelah berada di ruangan ber-AC terlalu lama, sakit mata.",
"Aku merasa tegang dan mataku lelah, sakit mata.",
"Setelah membaca buku dalam waktu yang lama, sakit mata.",
"Mataku tidak nyaman setelah terpapar debu dan polusi udara, sakit mata.",
"Aku mengalami gangguan penglihatan dan mataku lelah, sakit mata.",
"Setelah menatap layar ponsel dalam waktu yang lama,  sakit mata.",
"Aku merasa tidak enak badan dan mataku lelah, sakit mata.",
"Mataku terasa perih dan tidak dapat berkonsentrasi dengan baik, sakit mata.",
"Aku tidak dapat fokus pada pekerjaan karena mataku lelah, sakit mata.",
"Setelah menangis dalam waktu yang lama, sakit mata.",
"Mataku terasa perih dan tidak nyaman setelah berada di ruang ber-AC, sakit mata.",
"Aku merasa tidak fit dan mataku lelah, sakit mata.",
"Setelah berada di lingkungan yang berdebu,  sakit mata.",
"Aku tidak dapat membaca teks dengan jelas, sakit mata.",
"Mataku terasa perih karena kurang tidur, sakit mata.",
"Aku merasa tegang dan mataku lelah, sakit mata.",
"Setelah beraktivitas di luar rumah dalam cuaca berangin, sakit mata.",
"Mataku tidak dapat menangkap detail dengan baik, sakit mata.",
"Aku merasa tidak nyaman dengan cahaya yang terlalu terang, sakit mata.",
"Mataku lelah setelah menonton layar televisi dalam waktu yang lama, sakit mata.",
"Aku mengalami ketegangan mata dan mataku terasa perih, sakit mata.",
"Setelah bekerja di tempat yang kurang pencahayaan, sakit mata.",
"Mataku lelah karena membaca tulisan kecil, sakit mata.",
"Aku merasa tidak enak badan dan mataku terasa perih, sakit mata.",
"Setelah berada di ruangan yang terlalu dingin,  sakit mata.",
"Aku tidak dapat fokus pada pekerjaan karena mataku lelah, sakit mata.",
"Mataku terasa perih dan tidak nyaman setelah berada di depan kipas angin, sakit mata.",
"Aku merasa tegang dan mataku lelah, sakit mata.",
"Setelah berada di depan layar komputer tanpa istirahat,  sakit mata.",
"Aku tidak dapat melihat dengan jelas karena mataku lelah, sakit mata.",
"Mataku terasa perih dan tidak dapat berkonsentrasi dengan baik, sakit mata.",
"Aku merasa tidak fit dan mataku lelah, sakit mata.",
"Setelah menatap layar ponsel dalam waktu yang lama, sakit mata.",
"Mataku terasa perih dan tidak nyaman setelah berada di ruang ber-AC, sakit mata.",
"Aku tidak dapat fokus pada pekerjaan karena mataku lelah, sakit mata.",
"Setelah bekerja di depan layar komputer seharian,  sakit mata.",
"Aku merasa tegang dan mataku lelah, sakit mata.",
"Mataku tidak nyaman setelah terpapar debu dan polusi udara, sakit mata.",
"Aku mengalami gangguan penglihatan dan mataku lelah, sakit mata.",
"Setelah membaca buku dalam waktu yang lama, sakit mata.",
"Mataku terasa perih setelah berada di ruangan ber-AC terlalu lama, sakit mata.",
"Aku merasa tidak enak badan dan mataku lelah, sakit mata.",
"Setelah menangis dalam waktu yang lama, sakit mata.",
"Mataku terasa perih dan tidak dapat berkonsentrasi dengan baik, sakit mata.",
"Aku tidak dapat membaca teks dengan jelas, sakit mata.",
"Mataku lelah dan aku merasa tidak fit, sakit mata.",
"Aku mudah haus, diabetes.",
"Aku sering makan makanan manis, diabetes.",
"Setelah minum banyak kopi sekarang aku mudah haus, diabetes.",
"Aku sering ngemil permen, diabetes.",
"Aku mudah merasa haus setelah mengonsumsi minuman bersoda, diabetes.",
"Aku suka makan kue-kue manis, diabetes.",
"Setelah menyantap makanan tinggi gula sekarang aku mudah haus, diabetes.",
"Aku sering minum minuman bersoda, diabetes.",
"Aku mudah merasa haus karena kebiasaan minum minuman manis, diabetes.",
"Setelah makan es krim sekarang aku mudah haus, diabetes.",
"Aku suka mengonsumsi permen karet manis, diabetes.",
"Aku mudah haus setelah makan camilan manis, diabetes.",
"Aku tergoda untuk makan cokelat, diabetes.",
"Setelah menyantap puding manis sekarang aku mudah haus, diabetes.",
"Aku sering mengonsumsi minuman energi manis, diabetes.",
"Aku mudah merasa haus setelah makan makanan cepat saji yang tinggi gula, diabetes.",
"Aku suka minum teh manis, diabetes.",
"Setelah makan kue tart sekarang aku mudah haus, diabetes.",
"Aku sering makan donat, diabetes.",
"Aku mudah haus setelah mengonsumsi minuman ringan berkalori tinggi, diabetes.",
"Aku terbiasa makan makanan ringan manis, diabetes.",
"Aku mudah merasa haus karena kebiasaan mengonsumsi gula berlebih, diabetes.",
"Setelah menyantap es buah manis, sekarang aku mudah haus, diabetes.",
"Aku suka minum kopi dengan tambahan gula, diabetes.",
"Aku mudah haus setelah makan kudapan manis, diabetes.",
"Aku tergoda untuk makan kue brownies, diabetes.",
"Setelah minum minuman berenergi sekarang aku mudah haus, diabetes.",
"Aku sering menyantap makanan penutup manis, diabetes.",
"Aku mudah merasa haus karena sering makan permen karet, diabetes.",
"Setelah makan es krim cokelat sekarang aku mudah haus, diabetes.",
"Aku suka minum minuman berkafein manis, diabetes.",
"Aku mudah haus setelah makan makanan ringan yang tinggi gula, diabetes.",
"Aku tergoda untuk makan kue bolu, diabetes.",
"Setelah menyantap cokelat manis sekarang aku mudah haus, diabetes.",
"Aku sering minum minuman bersoda berkalori tinggi, diabetes.",
"Aku mudah merasa haus karena kebiasaan makan permen, diabetes.",
"Setelah makan puding karamel sekarang aku mudah haus, diabetes.",
"Aku suka mengonsumsi minuman kemasan manis, diabetes.",
"Aku mudah haus setelah makan camilan manis, diabetes.",
"Aku terbiasa makan makanan ringan yang tinggi gula, diabetes.",
"Aku mudah merasa haus karena sering mengonsumsi minuman manis, diabetes.",
"Setelah menyantap kue keju manis sekarang aku mudah haus, diabetes.",
"Aku suka minum minuman berenergi manis, diabetes.",
"Aku mudah haus setelah makan kudapan manis yang tinggi gula, diabetes.",
"Aku tergoda untuk makan kue cokelat, diabetes.",
"Setelah minum minuman berkafein manis sekarang aku mudah haus, diabetes.",
"Aku sering makan permen jelly, diabetes.",
"Aku mudah merasa haus karena kebiasaan makan kue kering, diabetes.",
"Setelah makan donat cokelat sekarang aku mudah haus, diabetes.",
"Aku suka mengonsumsi minuman kemasan berkalori tinggi, diabetes.",
"Aku terkena sedikit flu, pilek.",
"Aku sering minum es, pilek.",
"Setelah berada di udara dingin, pilek.",
"Aku sering minum minuman dingin, pilek.",
"Aku terkena hujan, pilek.",
"Aku suka minum es kopi, pilek.",
"Setelah tidur di ruangan ber-AC, pilek.",
"Aku terpapar angin kencang, pilek.",
"Setelah minum minuman dingin saat cuaca dingin, pilek.",
"Aku sering minum es teh, pilek.",
"Aku terkena paparan udara dingin, pilek.",
"Setelah minum minuman es saat cuaca dingin, pilek.",
"Aku terkena percikan air hujan, pilek.",
"Aku suka makan es krim, pilek.",
"Setelah minum es batu, pilek.",
"Aku terpapar udara dingin saat berpergian, pilek.",
"Aku sering minum es lemon, pilek.",
"Aku terkena embun pagi, pilek.",
"Setelah minum minuman dingin di tempat ber-AC, pilek.",
"Aku suka makan es buah, pilek.",
"Aku terkena angin kencang, pilek.",
"Setelah minum minuman es campur, pilek.",
"Aku terpapar hawa dingin, pilek.",
"Aku suka makan es teler, pilek.",
"Setelah minum minuman dingin saat beraktivitas di luar, pilek.",
"Aku terkena embun malam, pilek.",
"Aku suka makan es doger, pilek.",
"Setelah minum minuman es ketan, pilek.",
"Aku terpapar angin dingin di malam hari, pilek.",
"Aku suka minum es degan, pilek.",
"Setelah minum minuman dingin di kafe ber-AC, pilek.",
"Aku terkena hawa dingin di pegunungan, pilek.",
"Aku suka makan es puter, pilek.",
"Setelah minum minuman es coklat, pilek.",
"Aku terpapar udara dingin di pantai, pilek.",
"Aku suka minum es kacang hijau, pilek.",
"Setelah minum minuman es sirup, pilek.",
"Aku terkena embun saat jogging pagi, pilek.",
"Aku suka makan es serut, pilek.",
"Setelah minum minuman dingin di tempat ber-AC, pilek.",
"Aku terkena hujan deras, pilek.",
"Aku suka minum es kelapa muda, pilek.",
"Setelah minum minuman es teh tarik, pilek.",
"Aku terpapar udara dingin di tengah malam, pilek.",
"Aku suka makan es sop buah, pilek.",
"Setelah minum minuman es apel, pilek.",
"Aku terkena percikan air hujan, pilek.",
"Aku suka minum es cincau, pilek.",
"Setelah minum minuman dingin di pesta outdoor, pilek.",
"Aku terkena udara dingin saat berkendara malam hari, pilek.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Badanku kedinginan dan mual, masuk angin.",
"Setelah berada di tempat yang dingin, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Badanku terasa lelah dan mual, masuk angin.",
"Setelah beraktivitas di udara dingin, masuk angin.",
"Aku muntah dan sering bersendawa setelah mandi air dingin, masuk angin.",
"Badanku kedinginan dan mual setelah hujan-hujanan, masuk angin.",
"Setelah makan es krim, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Badanku terasa lelah dan mual, masuk angin.",
"Setelah berada di tempat yang dingin, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Aku muntah dan badanku kedinginan setelah berenang, masuk angin.",
"Setelah berada di ruangan ber-AC, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa setelah minum air es, masuk angin.",
"Badanku terasa lelah dan mual, masuk angin.",
"Setelah beraktivitas di udara dingin, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Setelah makan es krim, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Badanku terasa lelah dan mual, masuk angin.",
"Setelah berada di tempat yang dingin, masuk angin.",
"Aku muntah dan sering bersendawa setelah mandi air dingin, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Badanku terasa lelah dan mual setelah hujan-hujanan, masuk angin.",
"Setelah makan es krim, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Setelah beraktivitas di udara dingin, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Aku muntah dan badanku kedinginan setelah berenang, masuk angin.",
"Setelah berada di ruangan ber-AC, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa setelah minum air es, masuk angin.",
"Badanku terasa lelah dan mual, masuk angin.",
"Setelah beraktivitas di udara dingin, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Aku muntah dan badanku kedinginan setelah mandi air dingin, masuk angin.",
"Setelah makan es krim, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Emosiku mudah meluap, darah tinggi.",
"Badanku mudah kelelahan, darah tinggi.",
"Setelah stres berat, darah tinggi.",
"Emosiku sering tidak terkendali, darah tinggi.",
"Badanku mudah letih, darah tinggi.",
"Setelah situasi stres, darah tinggi.",
"Emosiku sulit dikontrol, darah tinggi.",
"Badanku sering terasa lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tinggi, darah tinggi.",
"Emosiku cenderung meledak-ledak, darah tinggi.",
"Badanku mudah capek, darah tinggi.",
"Setelah marah, darah tinggi.",
"Emosiku sulit ditenangkan, darah tinggi.",
"Badanku terasa lemah, darah tinggi.",
"Setelah situasi yang membuat emosiku tidak stabil, darah tinggi.",
"Emosiku rentan, darah tinggi.",
"Badanku sering terasa letih, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tidak stabil, darah tinggi.",
"Emosiku cenderung meledak, darah tinggi.",
"Badanku terasa lemas, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tidak stabil, darah tinggi.",
"Emosiku cenderung meledak, darah tinggi.",
"Badanku terasa lemas, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tidak stabil, darah tinggi.",
"Emosiku cenderung meledak, darah tinggi.",
"Badanku terasa lemas, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
